Rank,Nation,Squad size,Avg. age,Total value,Confederation,Points
120,Kazakhstan,34,27.5,€25.53m,UEFA,1141
121,Azerbaijan,24,26.7,€13.68m,UEFA,1139
122,Zimbabwe,26,28.1,€15.83m,CAF,1139
123,Guatemala,22,27.2,€5.08m,CONCACAF,1138
124,Faroe Islands,24,28,€3.80m,UEFA,1137
125,The Gambia,30,26.6,€45.35m,CAF,1135
126,Togo,36,23.8,€23.58m,CAF,1133
127,Angola,28,26.5,€34.08m,CAF,1132
128,Antigua and B.,23,27.2,€650Th.,CONCACAF,1131
129,Philippines,25,28,€8.05m,AFC,1130
130,Central Africa,28,25.1,€650Th.,CAF,1127
131,Comoros,32,27.7,€12.20m,CAF,1126
132,Tanzania,24,25.1,€4.93m,CAF,1119
133,Sudan,28,26.2,€2.90m,CAF,1118
134,Turkmenistan,36,27.7,€2.56m,AFC,1118
135,Latvia,22,26.7,€8.10m,UEFA,1100
136,Rwanda,26,27.3,€1.65m,CAF,1097
137,Lithuania,25,26.9,€7.78m,UEFA,1092
138,Ethiopia,28,26.4,€3.03m,CAF,1081
139,St. Kitts/Nevis,23,26.7,€2.05m,CONCACAF,1078
140,Suriname,23,29.3,€14.53m,CONCACAF,1078
141,Burundi,26,26.1,€8.65m,CAF,1076
142,Solomon Islands,25,25.2,€1.83m,OFC,1073
143,Kuwait,26,26.7,€5.70m,AFC,1066
144,Nicaragua,25,24.4,€950Th.,CONCACAF,1062
145,Liberia,26,25.6,€6.63m,CAF,1058
146,Lesotho,19,27.4,€410Th.,CAF,1058
148,Hong Kong,23,29.6,€4.15m,AFC,1053
149,Botswana,21,27.7,€1.30m,CAF,1052
150,Afghanistan,24,26.8,€2.34m,AFC,1050
151,Yemen,23,25.7,€1.27m,AFC,1046
152,Myanmar,27,25.2,€2.25m,AFC,1045
153,New Caledonia,30,28.9,€1.93m,OFC,1035
154,Malaysia,25,27.1,€4.88m,AFC,1035
155,Andorra,24,28.4,€1.98m,UEFA,1030
156,Dominican Rep.,24,22.2,€2.28m,CONCACAF,1029
157,Maldives,22,28.6,€1.50m,AFC,1022
158,C. Taipei,19,26.9,€1.07m,AFC,1018
159,Tahiti,23,27.1,€1.30m,OFC,1014
160,Indonesia,26,23.3,€5.28m,AFC,1002
161,Singapore,26,28.2,€2.75m,AFC,1001
162,Fiji,22,25.3,€2.78m,OFC,996
163,Barbados,17,23,-,CONCACAF,996
164,Vanuatu,25,24.7,€1.83m,OFC,996
165,Papua N. Guinea,24,28.6,€1.90m,OFC,991
166,Bermuda,21,26.2,€2.83m,CONCACAF,982
167,Nepal,25,24.2,€1.79m,AFC,982
168,South Sudan,38,24.7,€1.08m,CAF,978
169,Grenada,23,25,€1.84m,CONCACAF,974
170,Belize,22,27.9,€200Th.,CONCACAF,967
171,Cambodia,31,23.4,€1.92m,AFC,967
172,Puerto Rico,21,23.5,€1.50m,CONCACAF,963
173,St. Vincent,21,23.9,€175Th.,CONCACAF,961
174,Malta,30,26.7,€8.23m,UEFA,959
175,Guyana,28,25.5,€775Th.,CONCACAF,959
176,Mauritius,25,28,€550Th.,CAF,955
177,Saint Lucia,22,26.7,€275Th.,CONCACAF,953
178,Montserrat,19,29.1,€1.93m,CONCACAF,951
179,Cuba,22,26,€3.33m,CONCACAF,949
180,Chad,23,28.2,€2.63m,CAF,935
181,Moldova,28,26.6,€11.75m,UEFA,927
182,Macau,23,30.3,€1.14m,AFC,922
183,Dominica,17,28.9,-,CONCACAF,917
184,Mongolia,23,25.1,€1.15m,AFC,917
185,Bhutan,28,24.4,€850Th.,AFC,911
186,Bangladesh,23,25.4,€2.35m,AFC,908
187,Laos,30,23.3,€2.02m,AFC,905
188,Brunei,26,29.5,€1.30m,AFC,904
189,São Tomé and P.,28,27.8,€125Th.,CAF,903
190,A. Samoa,21,24,€25Th.,OFC,900
191,Liechtenstein,24,25.8,€1.00m,UEFA,900
192,Djibouti,27,25.5,€125Th.,CAF,897
193,Samoa,23,26,€225Th.,OFC,894
194,Somalia,28,25.4,€1.74m,CAF,874
195,Cayman Islands,19,24.6,-,CONCACAF,874
196,Seychelles,23,26.1,-,CAF,871
197,Pakistan,20,28.4,€720Th.,AFC,867
198,Timor-Leste,25,20.4,€680Th.,AFC,865
199,Tonga,18,25.7,-,OFC,862
200,Aruba,20,26.1,€400Th.,CONCACAF,860
201,Bahamas,20,24.6,-,CONCACAF,858
202,Eritrea,24,27.2,€400Th.,CAF,856
203,Gibraltar,30,25.7,€1.90m,UEFA,854
204,Sri Lanka,22,27.1,€1.25m,AFC,843
205,Turks-Caicos,19,25.4,€200Th.,CONCACAF,840
206,Guam,22,26.3,€670Th.,AFC,838
207,US Virgin,23,23.5,€75Th.,CONCACAF,816
208,B. Virgin,18,22.3,-,CONCACAF,813
209,Anguilla,17,28.2,-,CONCACAF,792
210,San Marino,27,28.1,€945Th.,UEFA,780
