,Squad,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
25,Japan,17.666666666666668,28.166666666666668,54.35,3.6666666666666665,40.333333333333336,340.0,3.766666666666667,4.0,2.3333333333333335,3.6666666666666665,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,1.03,0.64,1.6666666666666667,0.9466666666666667,1.5833333333333333
26,Korea DPR,15.0,26.5,,3.0,35.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33
27,Korea Republic,17.666666666666668,26.366666666666664,44.8,3.3333333333333335,36.666666666666664,300.0,3.3333333333333335,4.0,1.6666666666666667,4.0,0.0,0.0,6.333333333333333,0.0,1.1666666666666667,0.5566666666666666,1.7233333333333334,1.1666666666666667,1.7233333333333334
28,Mexico,18.333333333333332,28.0,51.15,4.0,44.0,360.0,4.0,4.0,1.6666666666666667,3.3333333333333335,0.6666666666666666,0.6666666666666666,6.0,0.0,1.0,0.4166666666666667,1.4166666666666667,0.8333333333333334,1.25
29,Morocco,19.0,28.6,49.0,3.0,33.0,270.0,3.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.67,0.33,1.0,0.67,1.0
30,Netherlands,21.0,27.3,49.3,7.0,77.0,675.0,7.5,13.0,5.0,12.0,1.0,1.0,4.0,0.5,1.73,0.65,2.38,1.6,2.25
31,New Zealand,15.0,28.5,,3.0,33.0,270.0,3.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.67,0.0,0.67,0.67,0.67
32,Nigeria,17.666666666666668,25.666666666666668,49.05,3.3333333333333335,36.666666666666664,300.0,3.3333333333333335,3.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.6666666666666666,4.0,0.0,0.9166666666666666,0.47333333333333333,1.39,0.6966666666666667,1.1666666666666667
33,Panama,20.0,28.3,36.0,3.0,33.0,270.0,3.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.33,0.33,0.67,0.33,0.67
34,Paraguay,20.0,28.9,,5.0,55.0,480.0,5.3,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.56,0.0,0.56,0.56,0.56
35,Peru,17.0,27.5,50.3,3.0,33.0,270.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,0.67,0.33,1.0,0.67,1.0
36,Poland,21.0,27.6,50.3,3.0,33.0,270.0,3.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.67,0.67,1.33,0.67,1.33
37,Portugal,19.666666666666668,28.3,52.25,3.6666666666666665,40.333333333333336,330.0,3.6666666666666665,5.333333333333333,1.6666666666666667,5.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.4166666666666667,0.44333333333333336,1.86,1.3333333333333333,1.7766666666666666
38,Russia,17.5,28.450000000000003,43.45,4.0,44.0,390.0,4.35,6.0,5.0,5.5,0.5,0.5,4.0,0.5,1.215,1.04,2.255,1.1300000000000001,2.165
39,Saudi Arabia,20.0,28.1,59.0,3.0,33.0,270.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.67,0.33,1.0,0.33,0.67
40,Senegal,18.0,26.0,42.0,3.0,33.0,270.0,3.0,3.0,1.0,3.0,0.0,0.0,6.0,0.0,1.0,0.33,1.33,1.0,1.33
41,Serbia,18.5,27.299999999999997,42.7,3.0,33.0,270.0,3.0,2.0,0.5,2.0,0.0,0.0,8.5,0.5,0.67,0.165,0.835,0.67,0.835
42,Slovakia,21.0,25.8,,4.0,44.0,360.0,4.0,5.0,0.0,4.0,1.0,1.0,8.0,0.0,1.25,0.0,1.25,1.0,1.0
43,Slovenia,15.0,26.8,,3.0,33.0,270.0,3.0,3.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0
44,South Africa,19.0,26.1,,3.0,33.0,270.0,3.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0
45,Spain,19.666666666666668,27.933333333333334,65.0,4.666666666666667,51.333333333333336,440.0,4.866666666666666,6.0,2.3333333333333335,5.666666666666667,0.3333333333333333,0.3333333333333333,3.0,0.0,1.2666666666666666,0.61,1.8800000000000001,1.1566666666666665,1.7700000000000002
46,Sweden,19.0,28.5,37.6,5.0,55.0,450.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,0.0,1.0,0.6,1.6,0.6,1.2
47,Switzerland,17.666666666666668,26.733333333333334,53.3,3.6666666666666665,40.333333333333336,340.0,3.766666666666667,4.333333333333333,3.3333333333333335,4.333333333333333,0.0,0.0,5.666666666666667,0.0,1.0666666666666667,0.7933333333333333,1.86,1.0666666666666667,1.86
48,Tunisia,23.0,26.2,52.7,3.0,33.0,270.0,3.0,5.0,4.0,4.0,1.0,1.0,4.0,0.0,1.67,1.33,3.0,1.33,2.67
49,United States,19.0,28.05,44.8,4.0,44.0,390.0,4.3,5.0,2.0,4.5,0.5,0.5,4.5,0.0,1.15,0.46,1.615,1.035,1.5
50,Uruguay,20.0,27.233333333333334,46.2,5.333333333333333,58.666666666666664,490.0,5.433333333333334,7.0,2.0,6.333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.2333333333333334,0.43333333333333335,1.6666666666666667,1.1033333333333333,1.5366666666666668
